code,current,name,name_short,gender,country_code,country,events,birth_country,other_sports,medal_type,year
1935902,True,FINKE Bobby,FINKE B,Male,USA,United States,"[""Men's 1500m Freestyle"", ""Men's 800m Freestyle""]",United States,,Gold,2024
1935903,True,FOSTER Carson,FOSTER C,Male,USA,United States,"[""Men's 200m Individual Medley"", ""Men's 400m Individual Medley"", ""Men's 4 x 200m Freestyle Relay""]",United States,,Bronze,2024
1935903,True,FOSTER Carson,FOSTER C,Male,USA,United States,"[""Men's 200m Individual Medley"", ""Men's 400m Individual Medley"", ""Men's 4 x 200m Freestyle Relay""]",United States,,Silver,2024
1935907,True,GEMMELL Erin,GEMMELL E,Female,USA,United States,"[""Women's 200m Freestyle"", ""Women's 4 x 200m Freestyle Relay""]",United States,,Silver,2024
1935909,True,GRIMES Katie,GRIMES K,Female,USA,United States,"[""Women's 10km"", ""Women's 1500m Freestyle"", ""Women's 400m Individual Medley""]",United States,,Silver,2024
1935911,True,GUILIANO Chris,GUILIANO C,Male,USA,United States,"[""Men's 100m Freestyle"", ""Men's 200m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 200m Freestyle Relay"", ""Men's 50m Freestyle""]",United States,,Gold,2024
1935911,True,GUILIANO Chris,GUILIANO C,Male,USA,United States,"[""Men's 100m Freestyle"", ""Men's 200m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 4 x 200m Freestyle Relay"", ""Men's 50m Freestyle""]",United States,,Silver,2024
1935915,True,HEILMAN Thomas,HEILMAN T,Male,USA,United States,"[""Men's 100m Butterfly"", ""Men's 200m Butterfly"", ""Men's 4 x 100m Medley Relay""]",United States,,Silver,2024
1935916,True,HELD Ryan,HELD R,Male,USA,United States,"[""Men's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",United States,,Gold,2024
1935918,True,HOBSON Luke,HOBSON L,Male,USA,United States,"[""Men's 200m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",United States,,Bronze,2024
1935918,True,HOBSON Luke,HOBSON L,Male,USA,United States,"[""Men's 200m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",United States,,Silver,2024
1935923,True,HUSKE Torri,HUSKE T,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935923,True,HUSKE Torri,HUSKE T,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935923,True,HUSKE Torri,HUSKE T,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
1935923,True,HUSKE Torri,HUSKE T,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935923,True,HUSKE Torri,HUSKE T,Female,USA,United States,"[""Women's 100m Butterfly"", ""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",United States,,Gold,2024
1935927,True,JOHNSTON David,JOHNSTON D,Male,USA,United States,"[""Men's 1500m Freestyle""]",United States,,,2024
