code,current,name,name_short,name_tv,gender,function,country_code,country,nickname,medal_type,event,team,year,season
1965375,True,LORENZO Eduardo Jose,LORENZO EJ,Eduardo Jose LORENZO,Male,Athlete,DOM,Dominican Republic,Dito,,,,2024,Summer
1965384,True,ALVAREZ AZNAR Eduardo,ALVAREZ AZNAR E,Eduardo ALVAREZ AZNAR,Male,Athlete,ESP,Spain,Edu,,,,2024,Summer
1965385,True,ALVAREZ MOYA Sergio,ALVAREZ MOYA S,Sergio ALVAREZ MOYA,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965387,True,BENITEZ VALLE Esteban,BENITEZ VALLE E,Esteban BENITEZ VALLE,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965390,True,CARRASCOSA Borja,CARRASCOSA B,Borja CARRASCOSA,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965391,True,CASTILLA RUIZ Claudio,CASTILLA RUIZ C,Claudio CASTILLA RUIZ,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965395,True,DIAZ FERNANDEZ Carlos,DIAZ FERNANDEZ C,Carlos DIAZ FERNANDEZ,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965405,True,GARCIA ROQUE Ismael,GARCIA ROQUE I,Ismael GARCIA ROQUE,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965411,True,JIMENEZ COBO Juan Antonio,JIMENEZ COBO JA,Juan Antonio JIMENEZ COBO,Male,Athlete,ESP,Spain,,,,,2024,Summer
1965472,True,INDIA,INDIA,INDIA,Female,Athlete,NED,Netherlands,,,,,2024,Summer
1965473,True,MENNO,MENNO,MENNO,Male,Athlete,NED,Netherlands,,,,,2024,Summer
1965474,True,LEE,LEE,LEE,Male,Athlete,NED,Netherlands,,,,,2024,Summer
1965515,True,GHANIMI Rachid,GHANIMI R,Rachid GHANIMI,Male,Athlete,MAR,Morocco,,Bronze,Men,Morocco,2024,Summer
1965528,True,HEIJNEN Chelsey,HEIJNEN C,Chelsey HEIJNEN,Female,Athlete,NED,Netherlands,,,,,2024,Summer
1965548,True,van de KERKHOF Jacob,van de KERKHOF J,Jacob van de KERKHOF,Male,Athlete,NED,Netherlands,,Silver,Men's Eight,Netherlands,2024,Summer
1965556,True,MEESTER Veronique,MEESTER V,Veronique MEESTER,Female,Athlete,NED,Netherlands,,Gold,Women's Pair,Netherlands,2024,Summer
1965557,True,BOONSTRA Benthe,BOONSTRA B,Benthe BOONSTRA,Female,Athlete,NED,Netherlands,,Gold,Women's Four,Netherlands,2024,Summer
1965558,True,FLORIJN Karolien,FLORIJN K,Karolien FLORIJN,Female,Athlete,NED,Netherlands,,Gold,Women's Single Sculls,,2024,Summer
1965559,True,CLEVERING Ymkje,CLEVERING Y,Ymkje CLEVERING,Female,Athlete,NED,Netherlands,,Gold,Women's Pair,Netherlands,2024,Summer
1965560,True,OLDENBURG Marloes,OLDENBURG M,Marloes OLDENBURG,Female,Athlete,NED,Netherlands,,Gold,Women's Four,Netherlands,2024,Summer
1965562,True,FETTER Dieuwke,FETTER D,Dieuwke FETTER,Female,Athlete,NED,Netherlands,,Silver,Men's Eight,Netherlands,2024,Summer
1965563,True,YOUSSIFOU Laila,YOUSSIFOU L,Laila YOUSSIFOU,Female,Athlete,NED,Netherlands,,Silver,Women's Quadruple Sculls,Netherlands,2024,Summer
1965565,True,PAULIS Bente,PAULIS B,Bente PAULIS,Female,Athlete,NED,Netherlands,,Silver,Women's Quadruple Sculls,Netherlands,2024,Summer
